1310 東証ETF ダイワ 上場投信-トピックス･コア30（ETF）,,,,,
日付,始値,高値,安値,終値,出来高,終値調整値
"2018-01-04","815","822","815","822","3140","822"
"2018-01-05","828","834","828","832","5790","832"
"2018-01-09","840","840","834","836","2820","836"
"2018-01-10","839","842","838","842","4890","842"
"2018-01-11","842","842","837","837","1280","837"
"2018-01-12","840","840","839","839","540","839"
"2018-01-15","842","843","841","842","960","842"
"2018-01-16","842","848","841","848","650","848"
"2018-01-17","841","849","841","843","1570","843"
"2018-01-18","850","855","846","846","4240","846"
"2018-01-19","850","850","850","850","450","850"
"2018-01-22","850","851","843","843","1680","843"
"2018-01-23","850","852","848","852","2110","852"
"2018-01-24","854","857","853","853","770","853"
"2018-01-25","845","845","844","844","90","844"
"2018-01-26","844","844","842","842","20","842"
"2018-01-29","843","843","836","843","670","843"
"2018-01-30","843","843","832","832","640","832"
"2018-01-31","824","824","824","824","10","824"
"2018-02-01","828","835","828","832","1400","832"
"2018-02-02","839","839","828","828","220","828"
"2018-02-05","825","825","818","819","2110","819"
"2018-02-06","800","800","774","792","7330","792"
"2018-02-07","820","820","799","799","1780","799"
"2018-02-08","805","808","796","796","390","796"
"2018-02-09","781","786","775","786","910","786"
"2018-02-13","790","790","777","777","420","777"
"2018-02-14","784","784","770","776","1380","776"
"2018-02-15","776","778","776","778","20","778"
"2018-02-16","778","788","778","778","200","778"
"2018-02-19","793","793","789","792","130","792"
"2018-02-20","799","799","790","793","200","793"
"2018-02-21","790","790","790","790","110","790"
"2018-02-22","789","789","789","789","40","789"
"2018-02-23","788","788","785","785","420","785"
"2018-02-26","792","800","792","799","190","799"
"2018-02-27","800","806","800","802","980","802"
"2018-02-28","805","805","800","800","380","800"
"2018-03-01","788","788","781","784","200","784"
"2018-03-02","772","773","767","770","830","770"
"2018-03-05","767","767","760","760","390","760"
"2018-03-06","779","779","779","779","20","779"
"2018-03-07","768","768","759","759","2000","759"
"2018-03-08","764","769","764","769","100","769"
"2018-03-09","773","773","771","771","90","771"
"2018-03-12","785","785","776","784","3220","784"
"2018-03-14","780","780","775","775","30","775"
"2018-03-15","780","780","771","777","280","777"
"2018-03-19","775","775","770","772","170","772"
"2018-03-20","769","769","761","761","450","761"
"2018-03-22","766","771","766","771","290","771"
"2018-03-23","751","755","749","749","900","749"
"2018-03-26","743","743","734","740","400","740"
"2018-03-27","758","761","757","761","90","761"
"2018-03-28","754","765","754","765","80","765"
"2018-03-29","764","764","760","760","2010","760"
"2018-03-30","762","769","762","767","140","767"
"2018-04-02","767","768","767","768","450","768"
"2018-04-03","760","763","758","761","70","761"
"2018-04-04","760","761","760","761","160","761"
"2018-04-06","773","773","772","772","40","772"
"2018-04-09","764","770","764","765","1470","765"
"2018-04-10","765","770","765","770","30","770"
"2018-04-11","770","770","767","767","110","767"
"2018-04-12","764","767","764","767","40","767"
"2018-04-13","767","768","767","768","140","768"
"2018-04-16","776","776","768","769","90","769"
"2018-04-17","770","770","766","766","350","766"
"2018-04-18","769","771","769","771","210","771"
"2018-04-19","772","775","772","775","230","775"
"2018-04-23","773","776","773","776","110","776"
"2018-04-24","779","782","779","782","270","782"
"2018-04-25","776","788","776","787","400","787"
"2018-04-26","783","783","783","783","110","783"
"2018-04-27","780","789","780","789","220","789"
"2018-05-01","782","782","780","780","540","780"
"2018-05-02","779","779","778","778","160","778"
"2018-05-07","780","784","776","776","230","776"
"2018-05-08","784","784","783","783","40","783"
"2018-05-09","783","783","780","780","20","780"
"2018-05-10","789","789","788","788","60","788"
"2018-05-11","789","793","789","792","1130","792"
"2018-05-14","792","795","792","795","290","795"
"2018-05-15","796","798","796","798","30","798"
"2018-05-18","796","796","795","795","40","795"
"2018-05-21","795","797","795","796","130","796"
"2018-05-22","796","796","796","796","10","796"
"2018-05-23","800","800","789","789","1010","789"
"2018-05-25","783","783","768","768","170","768"
"2018-05-28","783","783","766","770","760","770"
"2018-05-29","765","777","765","777","320","777"
"2018-05-30","762","768","761","767","750","767"
"2018-05-31","768","769","765","765","40","765"
"2018-06-01","769","769","769","769","10","769"
"2018-06-04","780","780","779","779","140","779"
"2018-06-05","780","780","778","779","390","779"
"2018-06-06","783","783","782","782","70","782"
"2018-06-07","788","793","788","793","290","793"
"2018-06-08","789","790","784","784","40","784"
"2018-06-11","784","790","784","790","110","790"
"2018-06-12","798","798","798","798","200","798"
"2018-06-13","788","798","788","798","200","798"
"2018-06-14","792","792","784","790","1020","790"
"2018-06-15","790","790","790","790","10","790"
"2018-06-18","784","789","784","786","70","786"
"2018-06-19","785","785","777","777","690","777"
"2018-06-20","777","777","775","775","110","775"
"2018-06-21","781","781","774","774","2100","774"
"2018-06-22","769","771","765","765","520","765"
"2018-06-25","768","768","768","768","200","768"
"2018-06-26","765","766","763","764","350","764"
"2018-06-27","761","761","761","761","130","761"
"2018-06-28","760","760","760","760","20","760"
"2018-06-29","766","766","758","758","320","758"
"2018-07-02","766","766","755","755","140","755"
"2018-07-03","756","760","752","753","710","753"
"2018-07-04","756","756","752","755","240","755"
"2018-07-05","753","755","749","749","1080","749"
"2018-07-06","739","739","738","739","4210","739"
"2018-07-09","741","743","741","743","500","743"
"2018-07-10","751","752","750","751","2310","751"
"2018-07-11","741","743","740","743","4070","743"
"2018-07-12","750","750","749","750","420","750"
"2018-07-13","754","758","754","758","290","758"
"2018-07-17","759","765","759","763","4080","763"
"2018-07-18","767","767","766","767","210","767"
"2018-07-19","767","767","766","766","70","766"
"2018-07-20","766","766","760","760","180","760"
"2018-07-23","766","766","761","761","110","761"
"2018-07-25","763","767","763","767","20","767"
"2018-07-26","768","770","768","770","1570","770"
"2018-07-27","769","773","769","773","210","773"
"2018-07-30","772","772","772","772","110","772"
"2018-08-01","773","777","773","777","150","777"
"2018-08-02","777","777","770","770","140","770"
"2018-08-03","772","772","768","768","30","768"
"2018-08-07","765","765","764","764","560","764"
"2018-08-08","775","777","774","774","340","774"
"2018-08-09","773","773","773","773","20","773"
"2018-08-10","772","772","765","765","130","765"
"2018-08-13","755","755","747","747","690","747"
"2018-08-14","753","757","752","757","430","757"
"2018-08-15","759","760","755","755","980","755"
"2018-08-16","744","749","741","749","200","749"
"2018-08-17","756","757","754","756","270","756"
"2018-08-20","753","753","750","750","120","750"
"2018-08-21","751","751","748","748","190","748"
"2018-08-22","744","751","744","751","320","751"
"2018-08-23","749","749","748","748","170","748"
"2018-08-27","754","761","754","760","220","760"
"2018-08-28","765","768","765","766","460","766"
"2018-08-29","766","769","766","769","10590","769"
"2018-08-31","760","763","760","763","540","763"
"2018-09-03","759","759","753","755","320","755"
"2018-09-04","753","755","752","752","420","752"
"2018-09-05","752","752","745","747","530","747"
"2018-09-06","742","742","742","742","300","742"
"2018-09-07","739","739","735","738","470","738"
"2018-09-10","738","740","738","740","120","740"
"2018-09-11","743","745","743","745","80","745"
"2018-09-12","749","749","747","747","110","747"
"2018-09-13","750","756","750","756","600","756"
"2018-09-14","759","761","759","761","490","761"
"2018-09-18","760","775","760","775","970","775"
"2018-09-19","785","789","784","789","2830","789"
"2018-09-20","789","789","786","787","940","787"
"2018-09-21","790","792","790","790","1830","790"
"2018-09-25","790","798","790","798","11110","798"
"2018-09-26","800","803","800","801","3680","801"
"2018-09-27","801","805","798","799","560","799"
"2018-09-28","805","805","803","805","310","805"
"2018-10-01","801","805","800","805","240","805"
"2018-10-02","808","812","806","809","2920","809"
"2018-10-03","806","806","795","795","20","795"
"2018-10-04","806","806","800","801","940","801"
"2018-10-05","797","799","797","799","200","799"
"2018-10-09","789","789","781","781","800","781"
"2018-10-10","781","782","776","776","730","776"
"2018-10-11","761","761","748","749","2180","749"
"2018-10-12","745","750","745","750","370","750"
"2018-10-15","747","747","737","737","4060","737"
"2018-10-16","738","742","738","742","230","742"
"2018-10-17","772","772","755","760","400","760"
"2018-10-18","762","762","755","757","3280","757"
"2018-10-19","745","749","742","747","2010","747"
"2018-10-22","743","749","741","749","380","749"
"2018-10-23","744","744","732","732","1740","732"
"2018-10-24","737","737","728","732","6170","732"
"2018-10-25","717","719","713","713","5410","713"
"2018-10-26","724","724","709","714","2230","714"
"2018-10-29","719","719","714","714","810","714"
"2018-10-30","709","718","709","718","1680","718"
"2018-10-31","729","735","726","735","740","735"
"2018-11-01","730","730","722","722","330","722"
"2018-11-02","729","736","724","736","3840","736"
"2018-11-05","726","727","726","726","410","726"
"2018-11-06","731","734","731","734","3330","734"
"2018-11-07","738","740","735","735","640","735"
"2018-11-08","749","749","745","746","1170","746"
"2018-11-09","746","746","742","742","20","742"
"2018-11-12","737","740","736","740","230","740"
"2018-11-13","725","726","717","726","440","726"
"2018-11-14","727","730","726","730","1440","730"
"2018-11-15","724","724","722","723","40","723"
"2018-11-16","726","726","720","720","270","720"
"2018-11-19","719","722","719","720","50","720"
"2018-11-20","716","719","716","718","550","718"
"2018-11-21","708","715","708","715","210","715"
"2018-11-22","716","717","716","716","6270","716"
"2018-11-26","717","718","717","718","230","718"
"2018-11-27","724","728","724","728","460","728"
"2018-11-28","730","731","726","731","1020","731"
"2018-11-29","736","736","734","736","80","736"
"2018-11-30","730","737","730","737","870","737"
"2018-12-03","747","750","746","748","3130","748"
"2018-12-04","746","746","727","727","630","727"
"2018-12-05","717","725","708","725","130","725"
"2018-12-06","724","724","711","711","1300","711"
"2018-12-07","721","725","720","720","220","720"
"2018-12-10","707","707","705","705","2360","705"
"2018-12-11","709","711","703","703","1140","703"
"2018-12-12","711","715","711","713","160","713"